id,timestamp,open_rank_domain,page_rank_integer,page_rank_decimal,website_url,having_ip_address,url_length,shortining_service,having_at_symbol,double_slash_redirecting,prefix_suffix,having_sub_domain,sslfinal_state,domain_registration_length,favicon,port,https_token,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,on_mouseover,rightclick,popupwindow,iframe,age_of_domain,dnsrecord,web_traffic,page_rank,google_index,links_pointing_to_page,statistical_report,result
e00a228a-a52f-4c2b-9659-82f0154271ad,2024-11-19T08:16:40.940969,knockunlgoini.gitbook.io,3,2.5,https://knockunlgoini.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
37b99b00-59ea-4002-a3f2-d695b0f4fcf4,2024-11-19T08:16:54.397461,kocoenloginn.gitbook.io,2,2.13,https://kocoenloginn.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
382fad87-d1c1-43b7-8e8b-ae3de38c598d,2024-11-19T08:17:06.428998,koueconlogni.gitbook.io,1,1.49,https://koueconlogni.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
f08d1680-3755-4402-9302-5b548df4a66d,2024-11-19T08:17:18.229272,kqucoinloogi.gitbook.io,3,2.78,https://kqucoinloogi.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
65f4532c-809a-4725-9965-0dda88103e90,2024-11-19T08:17:31.029963,kraainlogin.gitbook.io,3,2.78,https://kraainlogin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
d1c2c017-ca30-4254-8636-c6595527e111,2024-11-19T08:17:43.052497,kraakenglougen.gitbook.io,0,0,https://kraakenglougen.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
8e23f670-1f67-4ee8-bc9a-51e97ace8e21,2024-11-19T08:17:57.184489,kraakenlogen.gitbook.io,3,2.5,https://kraakenlogen.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
8a176a38-e130-45a7-818e-e06619925a60,2024-11-19T08:18:09.076950,kraccanlogin.gitbook.io,3,2.73,https://kraccanlogin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
65858474-8f67-4892-aa99-f3095fa95826,2024-11-19T08:18:23.187721,kraekenglogon.gitbook.io,3,2.5,https://kraekenglogon.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
d9f23188-6cb2-443a-97c7-fdcdd7d42dca,2024-11-19T08:18:35.641421,kraiccenlogix.gitbook.io,3,2.5,https://kraiccenlogix.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
0668f997-e87e-49ed-a6ae-17de697a9baf,2024-11-19T08:18:49.266780,kraikenlogud.gitbook.io,3,2.5,https://kraikenlogud.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
