page_rank_decimal,shortining_service,favicon,request_url,url_of_anchor,links_in_tags,iframe,web_traffic,page_rank,google_index,links_pointing_to_page,sim_lev,sim_fuzz,num_of_subdomains,len_sub,len_of_subdomains,result
0.0,1,-1,1,1,1,1,-1,-1,-1,0,0.5,53,1,0,13,-1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,0,12,-1
0.0,1,1,0,1,0,-1,0,-1,-1,1,0.625,43,0,1,0,1
4.86,1,1,-1,1,0,-1,0,1,1,1,0.6,38,1,1,3,1
3.52,1,1,1,1,1,1,0,1,-1,1,0.5714285714285714,67,0,1,0,-1
0.0,1,-1,1,1,1,1,-1,-1,-1,-1,0.5,57,1,1,5,-1
8.64,-1,1,1,-1,1,1,1,1,-1,1,0.7142857142857143,40,0,1,0,-1
0.0,1,-1,-1,0,-1,1,-1,-1,-1,1,0.5,50,2,-1,17,-1
2.92,1,1,0,1,0,1,0,1,-1,0,0.3333333333333333,42,0,1,0,1
2.45,1,1,0,1,0,-1,0,1,-1,0,0.6,33,0,1,0,1
0.66,1,-1,-1,1,-1,-1,0,1,1,-1,0.5,33,1,1,3,1
0.0,1,1,0,1,0,-1,0,-1,-1,1,0.6,40,0,1,0,1
0.0,1,1,1,1,0,1,-1,-1,-1,-1,0.2857142857142857,75,1,0,9,-1
1.4,1,1,1,1,1,-1,0,1,1,1,0.6,42,0,1,0,1
3.47,1,1,0,1,0,-1,0,1,1,-1,0.75,55,0,1,0,1
1.59,1,1,-1,-1,1,1,0,1,1,1,0.6666666666666666,40,0,1,0,1
0.0,1,1,-1,1,0,-1,0,-1,1,1,0.7142857142857143,46,1,1,3,1
0.5,1,1,-1,-1,-1,1,0,1,-1,0,0.6,35,1,1,3,1
0.0,1,-1,1,1,1,1,-1,-1,-1,0,0.4,53,1,0,15,-1
2.45,1,1,1,1,1,1,0,1,-1,-1,0.6,40,0,1,0,-1
2.95,1,1,0,1,0,-1,0,1,1,0,0.6,44,1,1,3,1
0.0,1,-1,1,1,1,1,-1,-1,-1,0,0.5,53,1,0,14,-1
2.75,1,1,0,1,0,-1,0,1,1,1,0.5,48,1,1,3,1
0.0,1,-1,-1,-1,-1,1,-1,-1,-1,0,0.5,53,1,-1,21,-1
2.69,1,1,1,1,1,1,0,1,1,0,0.6,48,1,0,15,1
1.0,1,1,1,0,1,1,0,1,-1,0,0.4,53,1,0,9,-1
1.86,1,1,0,1,0,1,0,1,1,1,0.7142857142857143,36,0,1,0,1
1.94,1,1,1,0,1,1,0,1,1,1,0.75,29,0,1,0,1
0.0,1,-1,0,0,0,1,-1,-1,-1,1,0.25,47,1,0,14,-1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.5,57,1,-1,28,-1
4.72,1,1,0,1,1,-1,0,1,-1,1,0.7142857142857143,50,1,1,3,1
5.05,1,1,1,1,1,1,1,1,1,-1,0.5714285714285714,36,1,1,3,1
2.46,1,1,1,1,1,-1,0,1,-1,1,0.5,40,0,1,0,1
3.78,1,1,1,1,1,1,0,1,1,1,0.75,36,0,1,0,1
3.87,1,1,-1,1,0,-1,0,1,1,1,0.5,40,1,1,3,1
4.88,1,1,0,1,0,1,0,1,1,1,0.5714285714285714,45,1,1,3,1
0.0,1,1,1,1,0,1,-1,-1,1,-1,0.5,38,0,1,0,-1
4.81,1,-1,-1,-1,-1,-1,0,1,-1,1,0.5,46,1,1,5,1
0.0,1,1,1,1,1,-1,0,-1,-1,-1,0.5714285714285714,53,0,1,0,1
2.45,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,14,-1
0.0,1,1,1,-1,1,1,-1,-1,-1,1,0.5,53,1,0,11,-1
3.94,1,1,-1,1,-1,-1,0,1,-1,1,0.6,60,1,1,3,1
2.92,1,1,0,1,0,1,0,1,1,1,0.7142857142857143,35,1,1,3,1
0.0,1,1,-1,1,0,-1,-1,-1,-1,-1,0.25,60,1,0,13,-1
2.95,1,1,1,0,0,1,0,1,-1,1,0.5,50,1,0,10,1
0.0,1,1,1,1,1,1,0,-1,1,0,0.7,29,1,1,3,1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.6666666666666666,43,0,1,0,-1
3.19,1,1,0,1,0,-1,0,1,1,1,0.7,53,1,1,3,1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,0,15,-1
0.0,1,1,0,-1,0,1,-1,-1,-1,1,0.5714285714285714,54,0,1,0,-1
3.56,1,1,1,1,1,1,0,1,1,0,0.5714285714285714,33,0,1,0,1
5.13,-1,-1,-1,-1,-1,1,1,1,-1,1,0.8,25,0,1,0,-1
0.0,1,1,1,1,1,1,0,-1,1,1,0.25,47,0,1,0,1
2.43,1,1,0,1,0,1,0,1,-1,-1,0.7142857142857143,40,0,1,0,-1
5.58,1,-1,-1,1,-1,-1,1,1,-1,-1,0.42857142857142855,50,1,1,2,1
4.66,1,1,-1,1,-1,1,0,1,-1,-1,0.8333333333333334,22,0,1,0,-1
1.67,1,1,1,1,1,1,0,1,-1,1,0.6,48,0,1,0,1
