page_rank_decimal,url_length,double_slash_redirecting,prefix_suffix,favicon,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,popupwindow,iframe,web_traffic,page_rank,google_index,links_pointing_to_page,has_numbers,lev,sim_lev,fuzzy,sim_fuzz,num_of_subdomains,len_sub,len_of_subdomains,result
2.31,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,-1,0,1,-1,1,1,0,0.5,0,57,1,1,2,1
2.0,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,1,1,1,0,0.5,0,56,1,1,3,1
0.0,0,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.5,0,20,1,-1,36,-1
0.0,0,1,-1,1,1,1,0,-1,-1,1,1,1,1,-1,-1,-1,-1,0,0,0.4,0,30,2,-1,40,-1
0.0,1,1,-1,-1,0,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,0,0.6,1,0,0,1,0,-1
0.0,0,1,-1,1,1,0,0,1,1,-1,1,1,-1,-1,-1,-1,1,0,0,0.5,0,29,1,-1,35,-1
2.5,1,1,1,-1,1,0,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,0,11,-1
8.64,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,0,0.7142857142857143,1,0,0,1,0,-1
2.36,-1,1,1,1,0,1,0,1,-1,1,1,1,-1,0,1,1,1,1,0,0.3333333333333333,1,0,0,1,0,1
0.0,1,1,-1,1,1,0,1,1,1,1,1,1,1,-1,-1,-1,1,1,0,0.5,0,53,1,0,12,-1
0.0,1,1,1,1,-1,0,0,1,1,1,1,1,-1,-1,-1,-1,0,1,0,0.25,0,60,1,0,13,-1
2.76,0,1,1,-1,-1,1,-1,1,1,1,1,1,1,0,1,1,1,1,0,0.6666666666666666,1,0,0,1,0,1
0.14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,0,0.7142857142857143,1,0,0,1,0,1
4.0,0,1,1,1,0,1,0,0,1,1,1,1,-1,0,1,1,1,1,0,0.5,0,62,1,1,3,1
2.57,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.6,1,0,0,1,0,1
0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,0,0.5714285714285714,0,59,1,0,8,-1
0.0,0,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.6,0,20,1,-1,36,-1
5.2,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0,0.5,0,20,1,1,3,1
0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.5714285714285714,1,0,0,1,0,-1
